,0
362,"""runs-on"" section is missing in job ""linter_and_tests"""
363,"unexpected key ""paths-ignore"" for ""workflow"" section. expected one of ""concurrency"", ""defaults"", ""env"", ""jobs"", ""name"", ""on"", ""permissions"", ""run-name"""
364,"unexpected key ""runs-on"" for ""workflow"" section. expected one of ""concurrency"", ""defaults"", ""env"", ""jobs"", ""name"", ""on"", ""permissions"", ""run-name"""
365,"""types"" section is sequence node but mapping node is expected"
366,"key ""run"" is duplicated in element of ""steps"" section. previously defined at line:53,col:9. note that key names are case insensitive"
367,"key ""if"" is duplicated in element of ""steps"" section. previously defined at line:52,col:9. note that key names are case insensitive"
368,"key ""on"" is duplicated in workflow. previously defined at line:1,col:1. note that key names are case insensitive"
369,"key ""jobs"" is duplicated in workflow. previously defined at line:6,col:1. note that key names are case insensitive"
370,"""steps"" section is missing in job ""send-nightly-release-event"""
371,"unexpected key ""type"" for ""check_run"" section. expected one of ""branches"", ""branches-ignore"", ""paths"", ""paths-ignore"", ""tags"", ""tags-ignore"", ""types"", ""workflows"""
372,"expected ""inputs"" key for ""workflow_dispatch"" section but got ""schedule"""
373,"""runs-on"" section is missing in job ""publish_benchmark"""
374,"""steps"" section is missing in job ""publish_benchmark"""
375,"unexpected key ""node-version"" for ""job"" section. expected one of ""concurrency"", ""container"", ""continue-on-error"", ""defaults"", ""env"", ""environment"", ""if"", ""name"", ""needs"", ""outputs"", ""permissions"", ""runs-on"", ""secrets"", ""services"", ""steps"", ""strategy"", ""timeout-minutes"", ""uses"", ""with"""
376,"key ""on"" is duplicated in workflow. previously defined at line:2,col:1. note that key names are case insensitive"
377,"key ""env"" is duplicated in element of ""steps"" section. previously defined at line:67,col:9. note that key names are case insensitive"
378,"key ""env"" is duplicated in element of ""steps"" section. previously defined at line:59,col:9. note that key names are case insensitive"
379,"unexpected key ""permissions"" for ""release"" section. expected one of ""branches"", ""branches-ignore"", ""paths"", ""paths-ignore"", ""tags"", ""tags-ignore"", ""types"", ""workflows"""
380,"unexpected key ""targets"" for ""workflow"" section. expected one of ""concurrency"", ""defaults"", ""env"", ""jobs"", ""name"", ""on"", ""permissions"", ""run-name"""
381,"unexpected key ""platform_version"" for ""job"" section. expected one of ""concurrency"", ""container"", ""continue-on-error"", ""defaults"", ""env"", ""environment"", ""if"", ""name"", ""needs"", ""outputs"", ""permissions"", ""runs-on"", ""secrets"", ""services"", ""steps"", ""strategy"", ""timeout-minutes"", ""uses"", ""with"""
382,"unexpected key ""platform"" for ""job"" section. expected one of ""concurrency"", ""container"", ""continue-on-error"", ""defaults"", ""env"", ""environment"", ""if"", ""name"", ""needs"", ""outputs"", ""permissions"", ""runs-on"", ""secrets"", ""services"", ""steps"", ""strategy"", ""timeout-minutes"", ""uses"", ""with"""
383,"unexpected key ""data"" for ""workflow"" section. expected one of ""concurrency"", ""defaults"", ""env"", ""jobs"", ""name"", ""on"", ""permissions"", ""run-name"""
384,"unexpected key ""publications"" for ""workflow"" section. expected one of ""concurrency"", ""defaults"", ""env"", ""jobs"", ""name"", ""on"", ""permissions"", ""run-name"""
385,"""runs-on"" section is missing in job ""monorepo-split"""
386,"unexpected key ""when"" for ""step"" section. expected one of ""continue-on-error"", ""env"", ""id"", ""if"", ""name"", ""run"", ""shell"", ""timeout-minutes"", ""uses"", ""with"", ""working-directory"""
387,"unexpected key ""finish"" for ""workflow"" section. expected one of ""concurrency"", ""defaults"", ""env"", ""jobs"", ""name"", ""on"", ""permissions"", ""run-name"""
388,"unexpected key ""python-version"" for ""strategy"" section. expected one of ""fail-fast"", ""matrix"", ""max-parallel"""
389,"unexpected key ""name"" for ""strategy"" section. expected one of ""fail-fast"", ""matrix"", ""max-parallel"""
390,"expected ""inputs"" key for ""workflow_dispatch"" section but got ""if"""
391,"element of ""schedule"" section is scalar node but mapping node is expected"
392,"unexpected key ""ci"" for ""workflow"" section. expected one of ""concurrency"", ""defaults"", ""env"", ""jobs"", ""name"", ""on"", ""permissions"", ""run-name"""
393,"unexpected key ""steps"" for ""workflow"" section. expected one of ""concurrency"", ""defaults"", ""env"", ""jobs"", ""name"", ""on"", ""permissions"", ""run-name"""
394,"unexpected key ""resolves"" for ""workflow"" section. expected one of ""concurrency"", ""defaults"", ""env"", ""jobs"", ""name"", ""on"", ""permissions"", ""run-name"""
395,"""repository_dispatch"" event should not be listed in sequence. Use mapping for ""on"" section and configure the event as values of the mapping"
396,"""confluence"" job is sequence node but mapping node is expected"
397,"""runs-on"" section is missing in job ""confluence"""
398,"""steps"" section is missing in job ""confluence"""
399,"key ""steps"" is duplicated in ""lint"" job. previously defined at line:9,col:5. note that key names are case insensitive"
400,"unexpected key ""release"" for ""push"" section. expected one of ""branches"", ""branches-ignore"", ""paths"", ""paths-ignore"", ""tags"", ""tags-ignore"", ""types"", ""workflows"""
401,"""steps"" section is missing in job ""rebase-comment"""
402,"unexpected key ""working-drectory"" for ""step"" section. expected one of ""continue-on-error"", ""env"", ""id"", ""if"", ""name"", ""run"", ""shell"", ""timeout-minutes"", ""uses"", ""with"", ""working-directory"""
403,"""schedule"" event should not be listed in sequence. Use mapping for ""on"" section and configure the event as values of the mapping"
404,"input type of workflow_dispatch event must be one of ""string"", ""boolean"", ""choice"", ""environment"" but got ""text"""
405,"""steps"" section is missing in job ""preview_docs"""
406,"""steps"" section is missing in job ""issue_assign"""
407,"input type of workflow_dispatch event must be one of ""string"", ""boolean"", ""choice"", ""environment"" but got ""number"""
408,"unexpected key ""cache"" for ""step"" section. expected one of ""continue-on-error"", ""env"", ""id"", ""if"", ""name"", ""run"", ""shell"", ""timeout-minutes"", ""uses"", ""with"", ""working-directory"""
409,"""runs-on"" section is missing in job ""install"""
410,"""steps"" section is missing in job ""install"""
411,"""with"" is only available for a reusable workflow call with ""uses"" but ""uses"" is not found in job ""install"""
412,"unexpected key ""run"" for ""job"" section. expected one of ""concurrency"", ""container"", ""continue-on-error"", ""defaults"", ""env"", ""environment"", ""if"", ""name"", ""needs"", ""outputs"", ""permissions"", ""runs-on"", ""secrets"", ""services"", ""steps"", ""strategy"", ""timeout-minutes"", ""uses"", ""with"""
413,"""issues"" section is sequence node but mapping node is expected"
414,"""repository_dispatch"" section is sequence node but mapping node is expected"
415,"unexpected key ""ignorePatterns"" for ""workflow"" section. expected one of ""concurrency"", ""defaults"", ""env"", ""jobs"", ""name"", ""on"", ""permissions"", ""run-name"""
416,"key ""build-and-push-image"" is duplicated in ""jobs"" section. previously defined at line:53,col:3. note that key names are case insensitive"
417,"key ""build-and-push-deps-image"" is duplicated in ""jobs"" section. previously defined at line:20,col:3. note that key names are case insensitive"
418,"key ""build-and-push-image-dhtnode"" is duplicated in ""jobs"" section. previously defined at line:152,col:3. note that key names are case insensitive"
419,"key ""build-ubuntu"" is duplicated in ""jobs"" section. previously defined at line:6,col:3. note that key names are case insensitive"
420,"key ""env"" is duplicated in element of ""steps"" section. previously defined at line:13,col:7. note that key names are case insensitive"
421,"key ""env"" is duplicated in ""build"" job. previously defined at line:32,col:5. note that key names are case insensitive"
422,"unexpected key ""max-parallel"" for ""job"" section. expected one of ""concurrency"", ""container"", ""continue-on-error"", ""defaults"", ""env"", ""environment"", ""if"", ""name"", ""needs"", ""outputs"", ""permissions"", ""runs-on"", ""secrets"", ""services"", ""steps"", ""strategy"", ""timeout-minutes"", ""uses"", ""with"""
423,"unexpected key ""litani-version"" for ""workflow"" section. expected one of ""concurrency"", ""defaults"", ""env"", ""jobs"", ""name"", ""on"", ""permissions"", ""run-name"""
424,"unexpected key ""cadical-tag"" for ""workflow"" section. expected one of ""concurrency"", ""defaults"", ""env"", ""jobs"", ""name"", ""on"", ""permissions"", ""run-name"""
425,"unexpected key ""cbmc-viewer-version"" for ""workflow"" section. expected one of ""concurrency"", ""defaults"", ""env"", ""jobs"", ""name"", ""on"", ""permissions"", ""run-name"""
426,"unexpected key ""kissat-tag"" for ""workflow"" section. expected one of ""concurrency"", ""defaults"", ""env"", ""jobs"", ""name"", ""on"", ""permissions"", ""run-name"""
427,"unexpected key ""run-cbmc-proofs-command"" for ""workflow"" section. expected one of ""concurrency"", ""defaults"", ""env"", ""jobs"", ""name"", ""on"", ""permissions"", ""run-name"""
428,"unexpected key ""proofs-dir"" for ""workflow"" section. expected one of ""concurrency"", ""defaults"", ""env"", ""jobs"", ""name"", ""on"", ""permissions"", ""run-name"""
429,"unexpected key ""cbmc-version"" for ""workflow"" section. expected one of ""concurrency"", ""defaults"", ""env"", ""jobs"", ""name"", ""on"", ""permissions"", ""run-name"""
430,"unexpected key ""node-version"" for ""step"" section. expected one of ""continue-on-error"", ""env"", ""id"", ""if"", ""name"", ""run"", ""shell"", ""timeout-minutes"", ""uses"", ""with"", ""working-directory"""
431,"""steps"" section is missing in job ""comment"""
432,"unexpected key ""message"" for ""step"" section. expected one of ""continue-on-error"", ""env"", ""id"", ""if"", ""name"", ""run"", ""shell"", ""timeout-minutes"", ""uses"", ""with"", ""working-directory"""
433,"unexpected key ""repo-token"" for ""step"" section. expected one of ""continue-on-error"", ""env"", ""id"", ""if"", ""name"", ""run"", ""shell"", ""timeout-minutes"", ""uses"", ""with"", ""working-directory"""
434,"""runs-on"" section is missing in job ""release"""
435,"key ""run"" is duplicated in element of ""steps"" section. previously defined at line:61,col:7. note that key names are case insensitive"
436,"unexpected key ""pull_request"" for ""push"" section. expected one of ""branches"", ""branches-ignore"", ""paths"", ""paths-ignore"", ""tags"", ""tags-ignore"", ""types"", ""workflows"""
437,"key ""name"" is duplicated in ""test"" job. previously defined at line:35,col:5. note that key names are case insensitive"
438,"unexpected key ""branches_ignore"" for ""push"" section. expected one of ""branches"", ""branches-ignore"", ""paths"", ""paths-ignore"", ""tags"", ""tags-ignore"", ""types"", ""workflows"""
439,"unexpected key ""retryOn429"" for ""workflow"" section. expected one of ""concurrency"", ""defaults"", ""env"", ""jobs"", ""name"", ""on"", ""permissions"", ""run-name"""
440,"unexpected key ""httpHeaders"" for ""workflow"" section. expected one of ""concurrency"", ""defaults"", ""env"", ""jobs"", ""name"", ""on"", ""permissions"", ""run-name"""
441,"""steps"" section is missing in job ""phpstan"""
442,"""steps"" section is missing in job ""codestyle"""
443,"""phpstan"" job is sequence node but mapping node is expected"
444,"""codestyle"" job is sequence node but mapping node is expected"
445,"""runs-on"" section is missing in job ""phpstan"""
446,"""runs-on"" section is missing in job ""codestyle"""
447,"key ""behat"" is duplicated in ""jobs"" section. previously defined at line:275,col:3. note that key names are case insensitive"
448,"unexpected key ""build-asset-pack"" for ""job"" section. expected one of ""concurrency"", ""container"", ""continue-on-error"", ""defaults"", ""env"", ""environment"", ""if"", ""name"", ""needs"", ""outputs"", ""permissions"", ""runs-on"", ""secrets"", ""services"", ""steps"", ""strategy"", ""timeout-minutes"", ""uses"", ""with"""
449,"key ""node-version"" is duplicated in ""with"" section. previously defined at line:27,col:11. note that key names are case insensitive"
450,"unexpected key ""config_data"" for ""workflow"" section. expected one of ""concurrency"", ""defaults"", ""env"", ""jobs"", ""name"", ""on"", ""permissions"", ""run-name"""
451,"unexpected key ""config_data"" for ""step"" section. expected one of ""continue-on-error"", ""env"", ""id"", ""if"", ""name"", ""run"", ""shell"", ""timeout-minutes"", ""uses"", ""with"", ""working-directory"""
452,"unexpected key ""config_data"" for ""job"" section. expected one of ""concurrency"", ""container"", ""continue-on-error"", ""defaults"", ""env"", ""environment"", ""if"", ""name"", ""needs"", ""outputs"", ""permissions"", ""runs-on"", ""secrets"", ""services"", ""steps"", ""strategy"", ""timeout-minutes"", ""uses"", ""with"""
453,"unexpected key ""action"" for ""milestone"" section. expected one of ""branches"", ""branches-ignore"", ""paths"", ""paths-ignore"", ""tags"", ""tags-ignore"", ""types"", ""workflows"""
454,"unexpected key ""eps"" for ""job"" section. expected one of ""concurrency"", ""container"", ""continue-on-error"", ""defaults"", ""env"", ""environment"", ""if"", ""name"", ""needs"", ""outputs"", ""permissions"", ""runs-on"", ""secrets"", ""services"", ""steps"", ""strategy"", ""timeout-minutes"", ""uses"", ""with"""
455,"""steps"" section is missing in job ""benchmark"""
456,"unexpected key ""nedatadog"" for ""job"" section. expected one of ""concurrency"", ""container"", ""continue-on-error"", ""defaults"", ""env"", ""environment"", ""if"", ""name"", ""needs"", ""outputs"", ""permissions"", ""runs-on"", ""secrets"", ""services"", ""steps"", ""strategy"", ""timeout-minutes"", ""uses"", ""with"""
457,"""env"" job is scalar node but mapping node is expected"
458,"key ""run"" is duplicated in element of ""steps"" section. previously defined at line:29,col:9. note that key names are case insensitive"
459,"expected ""inputs"" key for ""workflow_dispatch"" section but got ""xgb_version"""
460,"unexpected key """" for ""runs-on"" section. expected one of ""group"", ""labels"""
461,"unexpected key ""<<"" for ""step"" section. expected one of ""continue-on-error"", ""env"", ""id"", ""if"", ""name"", ""run"", ""shell"", ""timeout-minutes"", ""uses"", ""with"", ""working-directory"""
462,"""matrix"" section is alias node but mapping node is expected"
463,"unexpected key ""build"" for ""job"" section. expected one of ""concurrency"", ""container"", ""continue-on-error"", ""defaults"", ""env"", ""environment"", ""if"", ""name"", ""needs"", ""outputs"", ""permissions"", ""runs-on"", ""secrets"", ""services"", ""steps"", ""strategy"", ""timeout-minutes"", ""uses"", ""with"""
464,"unexpected key ""branches_ignore"" for ""pull_request"" section. expected one of ""branches"", ""branches-ignore"", ""paths"", ""paths-ignore"", ""tags"", ""tags-ignore"", ""types"", ""workflows"""
465,"unexpected key ""platforms"" for ""step"" section. expected one of ""continue-on-error"", ""env"", ""id"", ""if"", ""name"", ""run"", ""shell"", ""timeout-minutes"", ""uses"", ""with"", ""working-directory"""
466,"unexpected key ""types"" for ""job"" section. expected one of ""concurrency"", ""container"", ""continue-on-error"", ""defaults"", ""env"", ""environment"", ""if"", ""name"", ""needs"", ""outputs"", ""permissions"", ""runs-on"", ""secrets"", ""services"", ""steps"", ""strategy"", ""timeout-minutes"", ""uses"", ""with"""
467,"unexpected key ""repo"" for ""inputs at workflow_call event"" section. expected one of ""default"", ""description"", ""required"", ""type"""
468,"""steps"" section is missing in job ""set-fake-pr-number"""
469,"""types"" section should not be empty"
470,"""schedule"" section must be sequence node but got scalar node with ""!!null"" tag"
471,"expected ""inputs"" key for ""workflow_dispatch"" section but got ""secrets"""
472,"unexpected key ""icon"" for ""workflow"" section. expected one of ""concurrency"", ""defaults"", ""env"", ""jobs"", ""name"", ""on"", ""permissions"", ""run-name"""
473,"unexpected key ""lintianOverrides"" for ""workflow"" section. expected one of ""concurrency"", ""defaults"", ""env"", ""jobs"", ""name"", ""on"", ""permissions"", ""run-name"""
474,"unexpected key ""dest"" for ""workflow"" section. expected one of ""concurrency"", ""defaults"", ""env"", ""jobs"", ""name"", ""on"", ""permissions"", ""run-name"""
475,"unexpected key ""if"" for ""workflow"" section. expected one of ""concurrency"", ""defaults"", ""env"", ""jobs"", ""name"", ""on"", ""permissions"", ""run-name"""
476,"key ""run"" is duplicated in element of ""steps"" section. previously defined at line:139,col:7. note that key names are case insensitive"
477,"key ""if"" is duplicated in element of ""steps"" section. previously defined at line:20,col:9. note that key names are case insensitive"
478,"""runs-on"" section is missing in job ""docker"""
479,"unexpected key ""editions"" for ""workflow"" section. expected one of ""concurrency"", ""defaults"", ""env"", ""jobs"", ""name"", ""on"", ""permissions"", ""run-name"""
480,"key ""use"" is duplicated in ""with"" section. previously defined at line:23,col:9. note that key names are case insensitive"
481,"""strategy"" section should not be empty. please remove this section if it's unnecessary"
482,"unexpected key ""command"" for ""services"" section. expected one of ""credentials"", ""env"", ""image"", ""options"", ""ports"", ""volumes"""
483,"key ""uses"" is duplicated in element of ""steps"" section. previously defined at line:44,col:9. note that key names are case insensitive"
484,"key ""x64-windows"" is duplicated in ""jobs"" section. previously defined at line:15,col:3. note that key names are case insensitive"
485,"""runs-on"" section is missing in job ""jobs"""
486,"""steps"" section is missing in job ""jobs"""
487,"unexpected key ""FORCE_COLOR"" for ""job"" section. expected one of ""concurrency"", ""container"", ""continue-on-error"", ""defaults"", ""env"", ""environment"", ""if"", ""name"", ""needs"", ""outputs"", ""permissions"", ""runs-on"", ""secrets"", ""services"", ""steps"", ""strategy"", ""timeout-minutes"", ""uses"", ""with"""
488,"unexpected key ""full"" for ""job"" section. expected one of ""concurrency"", ""container"", ""continue-on-error"", ""defaults"", ""env"", ""environment"", ""if"", ""name"", ""needs"", ""outputs"", ""permissions"", ""runs-on"", ""secrets"", ""services"", ""steps"", ""strategy"", ""timeout-minutes"", ""uses"", ""with"""
489,"key ""uses"" is duplicated in element of ""steps"" section. previously defined at line:50,col:9. note that key names are case insensitive"
490,"key ""name"" is duplicated in element of ""steps"" section. previously defined at line:49,col:9. note that key names are case insensitive"
491,"key ""with"" is duplicated in element of ""steps"" section. previously defined at line:51,col:9. note that key names are case insensitive"
492,"when a reusable workflow is called with ""uses"", ""runs-on"" is not available. only following keys are allowed: ""name"", ""uses"", ""with"", ""secrets"", ""needs"", ""if"", and ""permissions"" in job ""main"""
493,"when a reusable workflow is called with ""uses"", ""runs-on"" is not available. only following keys are allowed: ""name"", ""uses"", ""with"", ""secrets"", ""needs"", ""if"", and ""permissions"" in job ""v1_10_x"""
494,"when a reusable workflow is called with ""uses"", ""runs-on"" is not available. only following keys are allowed: ""name"", ""uses"", ""with"", ""secrets"", ""needs"", ""if"", and ""permissions"" in job ""v1_9_x"""
495,"key ""v1_12_x"" is duplicated in ""jobs"" section. previously defined at line:53,col:3. note that key names are case insensitive"
496,"""steps"" section is missing in job ""native"""
497,"key ""native"" is duplicated in ""jobs"" section. previously defined at line:29,col:3. note that key names are case insensitive"
498,"key ""on"" is duplicated in workflow. previously defined at line:20,col:1. note that key names are case insensitive"
499,"key ""if"" is duplicated in element of ""steps"" section. previously defined at line:313,col:7. note that key names are case insensitive"
500,"key ""if"" is duplicated in element of ""steps"" section. previously defined at line:314,col:7. note that key names are case insensitive"
501,"""review_checklist"" job should not be empty. please remove this section if it's unnecessary"
502,"""steps"" section is missing in job ""review_checklist"""
503,"""if"" job is scalar node but mapping node is expected"
504,"""runs-on"" section is missing in job ""if"""
505,"""runs-on"" section is missing in job ""review_checklist"""
506,"""steps"" section is missing in job ""if"""
507,"unexpected key ""ignore"" for ""workflow"" section. expected one of ""concurrency"", ""defaults"", ""env"", ""jobs"", ""name"", ""on"", ""permissions"", ""run-name"""
508,"unexpected key ""ignore-not-existing"" for ""workflow"" section. expected one of ""concurrency"", ""defaults"", ""env"", ""jobs"", ""name"", ""on"", ""permissions"", ""run-name"""
509,"key ""feature"" is duplicated in ""matrix"" section. previously defined at line:18,col:9. note that key names are case insensitive"
510,"expected ""inputs"" key for ""workflow_dispatch"" section but got ""paths-ignore"""
511,"unexpected key ""steps"" for ""gh-pages"" section. expected one of ""branches"", ""branches-ignore"", ""paths"", ""paths-ignore"", ""tags"", ""tags-ignore"", ""types"", ""workflows"""
512,"unexpected key ""needs"" for ""gh-pages"" section. expected one of ""branches"", ""branches-ignore"", ""paths"", ""paths-ignore"", ""tags"", ""tags-ignore"", ""types"", ""workflows"""
513,"unexpected key ""runs-on"" for ""gh-pages"" section. expected one of ""branches"", ""branches-ignore"", ""paths"", ""paths-ignore"", ""tags"", ""tags-ignore"", ""types"", ""workflows"""
514,"unexpected key ""agent_1"" for ""job"" section. expected one of ""concurrency"", ""container"", ""continue-on-error"", ""defaults"", ""env"", ""environment"", ""if"", ""name"", ""needs"", ""outputs"", ""permissions"", ""runs-on"", ""secrets"", ""services"", ""steps"", ""strategy"", ""timeout-minutes"", ""uses"", ""with"""
515,"unexpected key ""permissoins"" for ""job"" section. expected one of ""concurrency"", ""container"", ""continue-on-error"", ""defaults"", ""env"", ""environment"", ""if"", ""name"", ""needs"", ""outputs"", ""permissions"", ""runs-on"", ""secrets"", ""services"", ""steps"", ""strategy"", ""timeout-minutes"", ""uses"", ""with"""
516,"unexpected key ""banches"" for ""push"" section. expected one of ""branches"", ""branches-ignore"", ""paths"", ""paths-ignore"", ""tags"", ""tags-ignore"", ""types"", ""workflows"""
517,"key ""jobs"" is duplicated in workflow. previously defined at line:4,col:1. note that key names are case insensitive"
518,"key ""name"" is duplicated in workflow. previously defined at line:2,col:1. note that key names are case insensitive"
519,"""runs-on"" section is missing in job ""slackNotification"""
520,"""steps"" section is missing in job ""slackNotification"""
521,"""type"" is missing at ""platform"" input of workflow_call event"
522,"""type"" is missing at ""os_name"" input of workflow_call event"
523,"""type"" is missing at ""cura_conan_version"" input of workflow_call event"
524,"""type"" is missing at ""conan_config"" input of workflow_call event"
525,"""type"" is missing at ""conan_args"" input of workflow_call event"
526,"key ""env"" is duplicated in element of ""steps"" section. previously defined at line:30,col:7. note that key names are case insensitive"
527,"unexpected key ""zip"" for ""step"" section. expected one of ""continue-on-error"", ""env"", ""id"", ""if"", ""name"", ""run"", ""shell"", ""timeout-minutes"", ""uses"", ""with"", ""working-directory"""
528,"unexpected key ""extension"" for ""step"" section. expected one of ""continue-on-error"", ""env"", ""id"", ""if"", ""name"", ""run"", ""shell"", ""timeout-minutes"", ""uses"", ""with"", ""working-directory"""
529,"unexpected key ""refresh-token"" for ""step"" section. expected one of ""continue-on-error"", ""env"", ""id"", ""if"", ""name"", ""run"", ""shell"", ""timeout-minutes"", ""uses"", ""with"", ""working-directory"""
530,"unexpected key ""client-id"" for ""step"" section. expected one of ""continue-on-error"", ""env"", ""id"", ""if"", ""name"", ""run"", ""shell"", ""timeout-minutes"", ""uses"", ""with"", ""working-directory"""
531,"unexpected key ""client-secret"" for ""step"" section. expected one of ""continue-on-error"", ""env"", ""id"", ""if"", ""name"", ""run"", ""shell"", ""timeout-minutes"", ""uses"", ""with"", ""working-directory"""
532,"unexpected key ""node"" for ""strategy"" section. expected one of ""fail-fast"", ""matrix"", ""max-parallel"""
533,"unexpected key ""uses"" for ""workflow"" section. expected one of ""concurrency"", ""defaults"", ""env"", ""jobs"", ""name"", ""on"", ""permissions"", ""run-name"""
534,"unexpected key ""with"" for ""workflow"" section. expected one of ""concurrency"", ""defaults"", ""env"", ""jobs"", ""name"", ""on"", ""permissions"", ""run-name"""
535,"""matrix values"" section should not be empty"
536,"key ""build"" is duplicated in ""jobs"" section. previously defined at line:9,col:3. note that key names are case insensitive"
537,"key ""test"" is duplicated in ""jobs"" section. previously defined at line:25,col:3. note that key names are case insensitive"
538,"""runs-on"" section is missing in job ""prepare"""
539,"key ""branch"" is duplicated in ""with"" section. previously defined at line:44,col:11. note that key names are case insensitive"
540,"key ""steps"" is duplicated in ""prepare"" job. previously defined at line:32,col:5. note that key names are case insensitive"
541,"unexpected key ""bottle"" for ""job"" section. expected one of ""concurrency"", ""container"", ""continue-on-error"", ""defaults"", ""env"", ""environment"", ""if"", ""name"", ""needs"", ""outputs"", ""permissions"", ""runs-on"", ""secrets"", ""services"", ""steps"", ""strategy"", ""timeout-minutes"", ""uses"", ""with"""
542,"key ""runs-on"" is duplicated in ""prepare"" job. previously defined at line:29,col:5. note that key names are case insensitive"
543,"""runs-on"" section is missing in job ""wip"""
544,"""wip"" job should not be empty. please remove this section if it's unnecessary"
545,"""steps"" section is missing in job ""wip"""
546,"unexpected key ""template"" for ""workflow"" section. expected one of ""concurrency"", ""defaults"", ""env"", ""jobs"", ""name"", ""on"", ""permissions"", ""run-name"""
547,"key ""run"" is duplicated in element of ""steps"" section. previously defined at line:86,col:9. note that key names are case insensitive"
548,"unexpected key ""runs-on"" for ""cargo"" section. expected one of ""branches"", ""branches-ignore"", ""paths"", ""paths-ignore"", ""tags"", ""tags-ignore"", ""types"", ""workflows"""
549,"unexpected key ""steps"" for ""cargo"" section. expected one of ""branches"", ""branches-ignore"", ""paths"", ""paths-ignore"", ""tags"", ""tags-ignore"", ""types"", ""workflows"""
550,"unexpected key ""name"" for ""cargo"" section. expected one of ""branches"", ""branches-ignore"", ""paths"", ""paths-ignore"", ""tags"", ""tags-ignore"", ""types"", ""workflows"""
551,"unexpected key ""cargo"" for ""jobs"" section. expected one of ""branches"", ""branches-ignore"", ""paths"", ""paths-ignore"", ""tags"", ""tags-ignore"", ""types"", ""workflows"""
552,"unexpected key ""allow_failure"" for ""step"" section. expected one of ""continue-on-error"", ""env"", ""id"", ""if"", ""name"", ""run"", ""shell"", ""timeout-minutes"", ""uses"", ""with"", ""working-directory"""
553,"key ""jobs"" is duplicated in workflow. previously defined at line:3,col:1. note that key names are case insensitive"
554,"""create"" section is sequence node but mapping node is expected"
555,"""release"" section is sequence node but mapping node is expected"
556,"key ""run"" is duplicated in element of ""steps"" section. previously defined at line:20,col:7. note that key names are case insensitive"
557,"expecting a single ${{...}} expression or array of matrix combination, but found plain text node"
558,"""matrix values"" section must be sequence node but got mapping node with ""!!map"" tag"
559,"unexpected key ""MACOSX_DEPLOYMENT_TARGET=10"" for ""workflow"" section. expected one of ""concurrency"", ""defaults"", ""env"", ""jobs"", ""name"", ""on"", ""permissions"", ""run-name"""
560,"""runs-on"" section is missing in job ""artifact"""
561,"key ""run"" is duplicated in element of ""steps"" section. previously defined at line:40,col:7. note that key names are case insensitive"
562,"key ""run"" is duplicated in element of ""steps"" section. previously defined at line:78,col:7. note that key names are case insensitive"
563,"unexpected key ""Description"" for ""workflow"" section. expected one of ""concurrency"", ""defaults"", ""env"", ""jobs"", ""name"", ""on"", ""permissions"", ""run-name"""
564,"unexpected key ""Source"" for ""workflow"" section. expected one of ""concurrency"", ""defaults"", ""env"", ""jobs"", ""name"", ""on"", ""permissions"", ""run-name"""
565,"unexpected key ""Version"" for ""workflow"" section. expected one of ""concurrency"", ""defaults"", ""env"", ""jobs"", ""name"", ""on"", ""permissions"", ""run-name"""
566,"this step is for running action since it contains at least one of ""uses"", ""with"" keys, but also contains ""shell"" key which is used for running shell command"
567,"key ""uses"" is duplicated in element of ""steps"" section. previously defined at line:29,col:9. note that key names are case insensitive"
568,"key ""uses"" is duplicated in element of ""steps"" section. previously defined at line:80,col:9. note that key names are case insensitive"
569,"key ""steps"" is duplicated in ""build-static"" job. previously defined at line:37,col:5. note that key names are case insensitive"
570,"key ""runs-on"" is duplicated in ""build-static"" job. previously defined at line:27,col:5. note that key names are case insensitive"
571,"key ""name"" is duplicated in element of ""steps"" section. previously defined at line:60,col:9. note that key names are case insensitive"
572,"unexpected key ""Homepage"" for ""workflow"" section. expected one of ""concurrency"", ""defaults"", ""env"", ""jobs"", ""name"", ""on"", ""permissions"", ""run-name"""
573,"""steps"" section is missing in job ""build_pg-rs-bridge"""
574,"""runs-on"" section is missing in job ""package"""
575,"unexpected key ""if"" for ""strategy"" section. expected one of ""fail-fast"", ""matrix"", ""max-parallel"""
576,"""runs-on"" section is missing in job ""checkout-code"""
577,"unexpected key ""exclude"" for ""strategy"" section. expected one of ""fail-fast"", ""matrix"", ""max-parallel"""
578,"unexpected key ""integration/$1"" for ""workflow"" section. expected one of ""concurrency"", ""defaults"", ""env"", ""jobs"", ""name"", ""on"", ""permissions"", ""run-name"""
579,"unexpected key ""release"" for ""workflow"" section. expected one of ""concurrency"", ""defaults"", ""env"", ""jobs"", ""name"", ""on"", ""permissions"", ""run-name"""
580,"unexpected key ""dev/tooling"" for ""workflow"" section. expected one of ""concurrency"", ""defaults"", ""env"", ""jobs"", ""name"", ""on"", ""permissions"", ""run-name"""
581,"unexpected key ""changelog/no-changelog"" for ""workflow"" section. expected one of ""concurrency"", ""defaults"", ""env"", ""jobs"", ""name"", ""on"", ""permissions"", ""run-name"""
582,"unexpected key ""dev/testing"" for ""workflow"" section. expected one of ""concurrency"", ""defaults"", ""env"", ""jobs"", ""name"", ""on"", ""permissions"", ""run-name"""
583,"unexpected key ""integration/container"" for ""workflow"" section. expected one of ""concurrency"", ""defaults"", ""env"", ""jobs"", ""name"", ""on"", ""permissions"", ""run-name"""
